gndr,cntry,agea,stflife,lrscale,health,hlthhmp,alcfreq,cgtsmok,slprl,happy,edulvlb,ipsucesa,iprspota,impricha,ipshabta,ipcrtiva,ipudrsta,ipmodsta,iphlppla,hinctnta
1,AT,52,10,4,1,3,2,4,2,5,322,1,1,3,1,4,2,4,1,9
2,AT,76,8,5,2,3,2,3,2,8,322,6,6,4,6,4,4,2,3,4
2,AT,22,9,88,2,3,4,1,1,10,322,2,2,4,3,2,2,3,1,4
1,AT,19,9,7,1,3,4,4,1,10,313,4,2,5,2,2,2,1,3,1
1,AT,51,7,5,3,2,2,4,1,8,322,2,1,4,2,4,2,4,2,6
1,AT,43,5,6,3,2,7,2,2,5,322,3,3,4,2,4,3,3,88,3
2,AT,58,9,5,3,3,5,6,3,9,212,4,1,5,5,1,1,1,1,77
2,AT,41,8,5,2,3,4,4,1,8,322,1,1,4,1,3,1,3,1,8
2,AT,80,8,5,3,3,5,6,1,9,212,6,1,6,1,6,2,1,1,2
1,AT,47,8,5,1,3,1,1,2,8,322,2,2,4,2,2,3,3,3,88
2,AT,52,9,8,1,3,2,1,1,9,322,4,2,5,3,4,1,4,2,8
1,AT,73,8,5,2,3,2,1,1,8,322,3,3,4,2,4,3,4,3,77
1,AT,53,9,7,1,3,2,3,1,9,423,3,1,4,1,1,1,5,1,4
2,AT,61,9,5,2,3,7,6,2,9,322,5,3,6,3,3,2,2,1,77
1,AT,77,8,5,3,3,2,6,2,9,322,4,3,5,4,5,2,4,2,77
1,AT,33,10,4,1,3,3,4,1,10,322,2,1,1,1,1,2,6,1,10
2,AT,44,10,6,1,3,3,6,1,8,322,3,1,5,3,3,3,3,1,8
2,AT,64,7,2,1,3,5,6,1,7,322,1,2,3,1,3,2,3,2,77
2,AT,56,10,6,3,3,5,6,1,10,322,1,1,1,1,1,2,3,1,4
1,AT,32,9,5,2,3,3,1,1,10,322,4,1,3,4,2,3,2,2,7
2,AT,54,8,5,2,3,4,6,1,8,322,2,2,3,2,2,2,3,2,77
2,AT,52,5,5,2,3,1,1,2,5,322,4,2,4,3,3,3,3,3,88
2,AT,35,9,2,1,3,6,6,2,8,720,3,2,4,3,2,1,4,1,9
1,AT,69,8,5,3,2,2,3,1,7,322,3,1,4,1,3,1,3,1,5
2,AT,34,5,3,2,3,7,1,2,10,322,2,2,2,2,2,2,2,3,3
1,AT,48,10,88,1,3,2,6,1,10,322,3,1,4,2,3,2,2,1,7
2,AT,26,7,88,1,3,3,5,1,7,423,2,2,3,1,2,3,4,3,77
2,AT,85,6,6,3,2,2,6,2,6,212,3,1,4,2,4,1,1,2,77
2,AT,57,10,5,3,2,6,1,3,9,322,2,2,2,2,3,2,4,3,88
2,AT,69,8,3,3,2,7,6,2,9,720,2,1,4,1,1,2,4,2,7
2,AT,83,5,88,4,1,7,6,2,88,212,5,2,6,5,3,3,1,88,5
1,AT,66,9,7,2,3,2,4,2,8,322,1,4,2,2,2,2,5,1,9
1,AT,71,10,5,2,3,2,4,1,10,322,4,2,4,6,2,1,2,1,3
1,AT,82,9,8,2,2,2,5,2,9,423,2,1,3,1,2,2,2,2,77
1,AT,85,7,7,3,2,1,6,2,7,212,3,4,4,4,4,5,4,3,8
2,AT,74,8,5,2,3,6,6,2,8,322,3,3,4,3,3,2,3,2,3
